ID,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id,Biography,Image_link
99,Doughty,Thomas,Thomas Doughty,1793,1856,98,Biography could not be found,../static/img/anonymous_artist.png
100,Duncanson,Robert S.,Robert S. Duncanson,1821,1872,99,"Robert Seldon Duncanson  was a nineteenth century American artist of European and African ancestry known for his contributions to landscape painting. Inspired by famous American landscape artists like Thomas Cole, Duncanson created renowned landscape paintings and is considered a second generation Hudson River School artist. Duncanson spent the majority of his career in Cincinnati, Ohio and helped develop the Ohio River Valley landscape tradition. As a free black man in antebellum America, Duncanson utilized the white abolitionist community in America and England to support and promote his work. Duncanson is considered the first African-American artist to be internationally known. He operated in the elite cultural circles of Cincinnati, Detroit, Montreal, and London. The primary art historical debate centered on Duncanson concerns the role that contemporary racial issues played in his work. Some art historians, like Joseph D. Ketner, believe that Duncanson used racial metaphors in his artwork, while others, like Margaret Rose Vendryes, discourage viewers from approaching his art with a racialized perspective.",../static/img/anonymous_artist.png
101,Dunlap,William,William Dunlap,1766,1839,100,"s earliest and most prominent theaters, the John Street Theatre  and the Park Theatre . He was also an artist, despite losing an eye in childhood.",//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Robert_S._Duncanson_%281821-1872%29.jpg/220px-Robert_S._Duncanson_%281821-1872%29.jpg
102,Durand,Asher Brown,Asher Brown Durand,1796,1886,101,"Asher Brown Durand  was an American painter of the Hudson River School.', '1823 Declaration of Independence ', '1835 Portrait of Luman Reed', '1837 View near Rutland, Vermont', '1837 Gathering Storm', '1845The Capture of Major Andre', '1845The Beeches', ""1847 The Indian's Vespers"", '1849 Nature Study, Trees, Newburgh, New York', '1850,  Kaaterskill Landscape, Princeton University Art Museum', '1853  Progress, Virginia Museum of Fine Arts', '1859 The Catskills, The Walters Art Museum', '1859  Landscape, Princeton University Art Museum', '1860Rocky Cliff, c. 1860, Reynolda House Museum of American Art",//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/William_Dunlap_Engraving.jpg/250px-William_Dunlap_Engraving.jpg
103,Durand,John,John Durand,1724,1824,102,Biography could not be found,../static/img/anonymous_artist.png
104,Durrie,George Henry,George Henry Durrie,1820,1863,103,George Henry Durrie  was an American artist whose rural winter scenes became popular when reproduced as lithographic prints by Currier and Ives.,../static/img/anonymous_artist.png
105,Duveneck,Frank,Frank Duveneck,1848,1919,104,Frank Duveneck  was an American figure and portrait painter.,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/George_Henry_Durrie_self-portrait.jpg/220px-George_Henry_Durrie_self-portrait.jpg
106,Duyckinck,Gerrit,Gerrit Duyckinck,1660,1712,105,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Portrait_of_Frank_Duveneck%2C_1877.jpg/220px-Portrait_of_Frank_Duveneck%2C_1877.jpg
107,Eakins,Thomas,Thomas Eakins,1844,1916,106,"Thomas Cowperthwait Eakins  was an American realist painter, photographer, sculptor, and fine arts educator. He is widely acknowledged to be one of the most important artists in American art history.",../static/img/anonymous_artist.png
108,Earl,Ralph,Ralph Earl,1751,1801,107,"Ralph Earl  was an American painter known for his portraits, of which at least 183 can be documented. He also painted six landscapes, including a panorama display of Niagara Falls.",//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Eakins_selfportrait.jpg/240px-Eakins_selfportrait.jpg
109,Earl,Ralph E. W.,Ralph E. W. Earl,1785,1838,108,"Ralph Eleaser Whiteside Earl , also known as Ralph E. W. Earl or Ralph Eleazer Whiteside Earl, was an American painter known as the ""court painter"" to President Andrew Jackson. He also painted the portrait of Rachel Jackson.",//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Battle_of_Lexington.jpeg/150px-Battle_of_Lexington.jpeg
110,Eddy,Oliver Tarbell,Oliver Tarbell Eddy,1799,1868,109,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Brooklyn_Museum_-_Mrs._Ebenezer_Porter_%28Lucy_%22Patty%22_Pierce_Merwin%29_-_Ralph_Eleazer_Whiteside_Earl_-_overall.jpg/214px-Brooklyn_Museum_-_Mrs._Ebenezer_Porter_%28Lucy_%22Patty%22_Pierce_Merwin%29_-_Ralph_Eleazer_Whiteside_Earl_-_overall.jpg
111,Eichholtz,Jacob,Jacob Eichholtz,1776,1842,110,"Jacob Eichholtz  was an early American painter, known primarily for his portraits in the Romantic Victorian tradition. Born in Lancaster, Pennsylvania in a family of prosperous Pennsylvania Germans, he spent most of his professional life in Philadelphia. A coppersmith by trade, he turned to painting and achieved both recognition and success despite being mainly self-taught as an artist. He is known to have painted over 800 portraits over the course of 35 years. Hundreds of his works are housed in art museums, historical societies, and private collections throughout the United States.",../static/img/anonymous_artist.png
113,Elliott,Charles Loring,Charles Loring Elliott,1812,1868,112,"Charles Loring Elliott  was an American painter known for his portraits. He was active in central New York for 10 years as a young man, then in 1845 moved to New York City to pursue his career.  He was elected to the National Academy of Design in 1846.",../static/img/anonymous_artist.png
114,Evans,James Guy,James Guy Evans,1798,1898,113,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/4/49/Charles_Loring_Elliott.jpg
115,Fagnani,Joseph,Joseph Fagnani,1819,1873,114,Biography could not be found,../static/img/anonymous_artist.png
116,Feke,Robert,Robert Feke,1708,1751,115,"Robert Feke  was an American portrait painter born in Oyster Bay, Long Island, New York. According to art historian Richard Saunders, ""Feke’s impact on the development of Colonial painting was substantial, and his pictures set a new standard by which the work of the next generation of aspiring Colonial artists was judged."" In total, about 60 paintings by Feke survive, twelve of which are signed and dated.",../static/img/anonymous_artist.png
117,Field,Erastus Salisbury,Erastus Salisbury Field,1805,1900,116,"Erastus Salisbury Field  was an American folk art painter of portraits, landscapes, and history pictures.",//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Brigadier_General_Samuel_Waldo.jpg/220px-Brigadier_General_Samuel_Waldo.jpg
118,Flagg,Charles Noel,Charles Noel Flagg,1848,1916,117,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/f/fb/Erastus_Salisbury_Field.jpg
120,Francis,John F.,John F. Francis,1808,1886,119,"John F. Francis  was an American painter, primarily of still lifes.', 'Citations', 'Bibliography",../static/img/anonymous_artist.png
122,Frazer,Oliver,Oliver Frazer,1808,1864,121,Biography could not be found,../static/img/anonymous_artist.png
124,Frothingham,James,James Frothingham,1786,1864,123,James Frothingham was an American portrait painter in Massachusetts and New York.,../static/img/anonymous_artist.png
125,Fuller,George,George Fuller,1822,1884,124,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/James_Frothingham.png/220px-James_Frothingham.png
128,Gay,Edward,Edward Gay,1837,1928,127,Biography could not be found,../static/img/anonymous_artist.png
130,Gifford,Robert Swain,Robert Swain Gifford,1840,1905,129,Robert Swain Gifford  was an American landscape painter. He was influenced by the Barbizon school.,../static/img/anonymous_artist.png
131,Gifford,Sanford Robinson,Sanford Robinson Gifford,1823,1880,130,"s landscapes are known for their emphasis on light and soft atmospheric effects, and he is regarded as a practitioner of Luminism, an offshoot style of the Hudson River School.",//upload.wikimedia.org/wikipedia/commons/thumb/4/40/RobertSwainGifford.JPG/220px-RobertSwainGifford.JPG
134,Gray,Henry Peters,Henry Peters Gray,1819,1877,133,Henry Peters Gray  was an American portrait and genre painter.,../static/img/anonymous_artist.png
136,Guy,Seymour Joseph,Seymour Joseph Guy,1824,1910,135,"Seymour Joseph Guy , was an American romance painter.",../static/img/anonymous_artist.png
139,Hamilton,James,James Hamilton,1819,1878,138,Biography could not be found,../static/img/anonymous_artist.png
140,Harding,Chester,Chester Harding,1792,1866,139,Biography could not be found,../static/img/anonymous_artist.png
141,Harnett,William Michael,William Michael Harnett,1848,1892,140,œil still lifes of ordinary objects.,../static/img/anonymous_artist.png
143,Hart,James M.,James M. Hart,1828,1901,142,Biography could not be found,../static/img/anonymous_artist.png
144,Hart,William,William Hart,1823,1894,143,Biography could not be found,../static/img/anonymous_artist.png
145,Haseltine,William Stanley,William Stanley Haseltine,1835,1900,144,"William Stanley Haseltine  was an American painter and draftsman who was associated with the Düsseldorf school of painting, the Hudson River School and Luminism.",../static/img/anonymous_artist.png
147,Havell,Robert,Robert Havell,1793,1878,146,Biography could not be found,../static/img/anonymous_artist.png
149,Heade,Martin Johnson,Martin Johnson Heade,1819,1904,148,"Martin Johnson Heade  was an American painter known for his salt marsh landscapes, seascapes, and depictions of tropical birds , as well as lotus blossoms and other still lifes. His painting style and subject matter, while derived from the romanticism of the time, are regarded by art historians as a significant departure from those of his peers.",../static/img/anonymous_artist.png
150,Healy,George P. A.,George P. A. Healy,1813,1894,149,"George Peter Alexander Healy  was an American portrait painter. He was one of the most prolific and popular painters of his day, and his sitters included many of the eminent personages of his time.",../static/img/anonymous_artist.png
151,Henry,Edward Lamson,Edward Lamson Henry,1841,1919,150,"Edward Lamson Henry , commonly known as E.L. Henry, was an American genre painter, born in Charleston, South Carolina.",//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/George_PA_Healy.jpg/220px-George_PA_Healy.jpg
153,Hesselius,John,John Hesselius,1728,1778,152,John Hesselius  was a portraitist who worked mostly in Virginia and Maryland. He was the son of the Swedish-born portraitist Gustavus Hesselius.,../static/img/anonymous_artist.png
154,Hicks,Edward,Edward Hicks,1780,1849,153,Edward Hicks  was an American folk painter and distinguished religious minister of the Society of Friends . He became a Quaker icon because of his paintings.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/John_Hesselius_-_Rev._Richard_Brown_-_Google_Art_Project.jpg/268px-John_Hesselius_-_Rev._Richard_Brown_-_Google_Art_Project.jpg
155,Hicks,Thomas,Thomas Hicks,1823,1890,154,Biography could not be found,//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Edward_Hicks_Painting_the_Peaceable_Kingdom.jpg/220px-Edward_Hicks_Painting_the_Peaceable_Kingdom.jpg
156,Hidley,Joseph H.,Joseph H. Hidley,1830,1872,155,Biography could not be found,../static/img/anonymous_artist.png
158,Hill,Thomas,Thomas Hill,1829,1908,157,Biography could not be found,../static/img/anonymous_artist.png
159,Hinckley,Thomas Hewes,Thomas Hewes Hinckley,1813,1896,158,Biography could not be found,../static/img/anonymous_artist.png
160,Hitchcock,George,George Hitchcock,1850,1913,159,Biography could not be found,../static/img/anonymous_artist.png
161,Hofmann,Charles C.,Charles C. Hofmann,1820,1882,160,Biography could not be found,../static/img/anonymous_artist.png
162,Homer,Winslow,Winslow Homer,1836,1910,161,"Winslow Homer  was an American landscape painter and printmaker, best known for his marine subjects. He is considered one of the foremost painters in 19th-century America and a preeminent figure in American art.",//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Berks_County_Almhouse.jpg/325px-Berks_County_Almhouse.jpg
164,Hovenden,Thomas,Thomas Hovenden,1840,1895,163,"Thomas Hovenden , was an Irish artist and teacher. He painted realistic quiet family scenes, narrative subjects and often depicted African Americans.",../static/img/anonymous_artist.png
165,Hubard,William James,William James Hubard,1809,1862,164,William James Hubard  was British-born artist who worked in England and the United States in the 19th century. He specialized in silhouette and painted portraits.,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Thomas_Hovenden_1895.jpg/180px-Thomas_Hovenden_1895.jpg
